
1000-BAHIA COCOA REVIEW|cocoa:
1304-NOBEL/FINANCIERE ROBUR ISSUE FRENCH FRANC BONDS|denominated:separate:capital:units:announcements:
1305-JAPANESE BANKS COOL ON NIGERIAN DEBT TALKS|money:agreed:barclays:talks:japan:
1306-U.K. MONEY MARKET DEFICIT FORECAST AT 800 MLN STG|money:fx:interest:
1307-JAPAN SALES TAX MAY FORCE NAKASONE OUT OF OFFICE|reuter:yasuhiro:yen:seizaburo:cuts:
1308-BLACK MINERS SUPPORT S. AFRICAN MINES TAKEOVER|gold:platinum:strategic:metal:
1309-THAILAND ANNOUNCES THIRD TAPIOCA QUOTA FOR EC|meal:feed:tapioca:
1310-ATPC MEMBERS FIND WAYS TO CURB TIN EXPORTS|tin:
1311-SOUTH KOREA TO HOLD CURRENT ACCOUNT SURPLUS DOWN|trade:bop:
1312-DUTCH OILSEEDS/FATS IMPORTS ROSE IN 1986|oilseed:sunseed:soybean:rapeseed:veg:oil:soy:oil:palm:oil:groundnut:oil:
1313-CHINA'S HEILONGJIANG PROVINCE BOOSTS GOLD OUTPUT|gold:
1314-SALE TILNEY BUYS STAKE IN U.S. INSURANCE BROKER|acq:
1315-SAN MIGUEL BOARD APPOINTMENT MAY MEAN CHANGES|represent:atmosphere:reuter:polled:reporters:
1316-ESTIMATED DROP IN JAPAN CORPORATE PROFITS TRIMMED|earn:
1317-LEBANESE PRESIDENT AGREES NEW PEACE MOVES|months:leaders:give:civil:sharing:
1318-INDIAN BUDGET DEFICIT SEEN FUELING INFLATION|debenture:proposed:increasingly:money:pointed:
1319-INDIA BUYS 46,000 TONNES OF VEGETABLE OILS|veg:oil:rape:oil:palm:oil:
1320-BEECHAM UNIT LAUNCHES ARTHRITIS DRUG|relifex:bham:caused:pain:group:
1321-JAPAN TO PROMOTE INTEREST RATE LIBERALISATION|interest:
1322-TAIWAN POWER FIRM PLANS MORE FOREIGN DEBT CUTS|reserves:
1323-CREDITORS ALLOW TECK HOCK TO FULFIL CONTRACTS|fulfil:comment:detailed:official:chinese:
1324-TESCO ISSUES 100 MLN STG CONVERTIBLE BOND|set:deal:give:eurobond:boston:
1325-SNCF ISSUING THREE BILLION FRANC DOMESTIC BOND|agricole:official:domestic:societe:committee:
1326-DUTCH ANIMAL FEED USAGE DOWN IN FIRST HALF SEASON|meal:feed:soy:meal:tapioca:grain:corn:cornglutenfeed:citruspulp:oilseed:rapeseed:rape:meal:
1327-REUTERS TO CARRY JIJI FINANCIAL SERVICES|financial:economic:technology:monitor:securities:
1328-FIAT UNIT ISSUES 100 MLN DLR BOND AND WARRANTS|eurobond:pays:trade:currency:manager:
1329-U.K. CONFIRMS JANUARY STERLING M3 RISE|money:supply:
1330-EXCO BUYS U.S. GOVERNMENT SECURITIES BROKER|acq:
1331-PAKISTAN TO TENDER FOR RBD PALM OIL|veg:oil:palm:oil:
1332-HOECHST TO RESEARCH DISCS WITH U.S., JAPAN FIRMS|development:colorado:kerdix:agreed:distribute:
1333-COLOROLL AGREES TO BUY U.S. WALLCOVERINGS COMPANY|acq:
1334-ECONOMIC SPOTLIGHT - AUSTERITY MEASURES IN HUNGARY|hoped:reuter:set:september:credits:
1335-U.K. MONEY MARKET SHORTAGE FORECAST REVISED DOWN|money:fx:interest:
1336-ALASKA HOUSING HAS 150 MLN DLR SYNDICATED LOAN|reuter:tap:proposed:acquired:commitment:
1337-SWEDEN TO GO AHEAD WITH S. AFRICAN TRADE SANCTIONS|trade:
1338-DIGITAL AUDIO TAPE PLAYERS GO ON SALE IN JAPAN|displayed:sources:disc:controversial:world:
1339-ECONOMIC SPOTLIGHT - ITALIAN BOOM|gdp:reuter:excessive:forget:september:
1340-U.K. MONEY MARKET RECEIVES 37 MLN STG ASSISTANCE|money:fx:interest:
1341-JAPAN, U.S. SET TO BEGIN HIGH-LEVEL TRADE TALKS|trade:
1342-INDIA TO HOLD WHITE SUGAR BUYING TENDER|sugar:
1343-QANTAS TO BUY FOUR 747-400'S FOR ONE BILLION DLRS|reuter:september:years:jim:pct:
1344-CARLTON COMMUNICATIONS OPTIMISTIC FOR 1987|earn:
1345-EC OPENS ANTI-DUMPING ENQUIRY INTO SOVIET MERCURY|strategic:metal:
1346-MANILA SAID TO OFFER DEBT BONDS TO BANKS|advisory:reuter:years:london:committee:
1347-ARGENTINE DEBT NEGOTIATOR CONFIDENT OF ACCORD|negotiation:bridge:industrial:prompt:loan:
1348-GULF ARAB DEPUTY OIL MINISTERS TO MEET IN BAHRAIN|crude:
1349-MANILA OFFICIALS SPLIT OVER DEBT STRATEGY|aided:sector:reuter:softening:month:
1350-OECD SAYS JAPAN RESOLVED TO STIMULATE DEMAND|development:yasuhiro:domestic:japanese:general:
1351-SAUDI ARABIA REITERATES COMMITMENT TO OPEC ACCORD|crude:
1352-KUWAIT MINISTER SAYS NO EMERGENCY OPEC TALKS SET|crude:
1353-TAIWAN PLANS NEW TARIFF CUTS|trade:
1354-RHONE-POULENC TO LAUNCH INVESTMENT CERTIFICATES|industrial:rene:give:reuter:year:
1355-HUTCHISON SEES HIGHER PAYOUT, SATISFACTORY PROFITS|earn:
1356-BALLADUR EXPECTS IMPROVED FEBRUARY INFLATION DATA|sector:set:show:account:month:
1357-FEBRUARY U.S. PURCHASING MANAGER INDEX FALLS|committee:indicator:seasonally:happened:worse:
1358-FUNARO SAYS BRAZIL NEEDS MORE, FASTER FINANCE|replied:stunned:money:reporters:embassy:
1359-AMERICAN MOTORS <AMO> BREAKS OFF TALKS ON PLANT|reject:midnight:plant:ended:deadline:
1360-SCIENTIFIC MICRO SYSTEMS <SMSI> ACUIRES SUPERMAC|acq:
1361-AMERICAN EXPRESS <AXP> VIEWING SHEARSON OPTIONS|acq:
1362-SPANISH FARMERS PROTEST, THEN CALL TRUCE|protests:deal:imports:spanish:organisations:
1363-SWISS HAVE NET GAIN IN 1985 GOVERNMENT FINANCES|duty:acceptance:financial:people:reuter:
1364-TWO S/L FAILURES RAISE U.S. 1987 TOLL TO 10|reuter:colorado:beloit:colo:total:
1365-ROPAK <ROPK> HAS 34 PCT OF BUCKHORN <BKN>|acq:
1366-APPLE COMPUTER <AAPL> UPGRADES MACINTOSH LINE|executive:feature:convergence:colors:disk:
1367-PHILADELPHIA PORT CLOSED BY TANKER CRASH|crude:ship:
1368-PENRIL <PNL> SEEKS TO SELL TWO UNITS|acq:
1369-LL/E ROYALTY <LRT> REVENUES MAY BE ESCROWED|alabama:determined:llx:determine:independent:
1370-<DALE BURDETT INC> FACES DAMAGE CLAIM|acq:
1371-PUROLATOR <PCC> IN BUYOUT WITH HUTTON <EFH>|acq:
1372-NCR <NCR> SIGNS LICENSE AGREEMENT|sell:willemijn:ncr:reuter:licensed:
1373-PAKISTAN COTTON OUTPUT REACHES 7.7 MLN BALES|cotton:
1374-IMPERIAL CHEMICAL <IMP> FORMS NEW UNIT|equally:diabetic:annesthetic:people:statil:
1375-FINANCIAL SANTA BARBARA <FSB> TO MAKE PURCHASE|acq:
1376-ALCAN TO CLOSE WEST GERMAN ALUMINIUM SMELTER|alum:
1377-BBC AG BROWN BOVERI UND CIE <BBCZ.Z> 1986 YEAR|earn:
1378-MARRIOTT <MHS> TO SELL HOTEL|acq:
1379-DH TECHNOLOGY <DHTK> CHAIRMAN SELLS SHARES|consent:falks:executive:associates:year:
1380-BROWN BOVERI OMITS DIVIDEND, PLANS WARRANT BOND|earn:
1381-U.S. CORPORATE FINANCE - ASSET-BACK MARKET GROWS|represent:treasuries:institutional:executive:years:
1382-VIACOM SAID IT HAS NEW NATIONAL AMUSEMENTS, MCV HOLDINGS BIDS |acq:emptySet
1383-ILC TECHNOLOGY <ILCT> OFFICER REMOVED|extent:civil:embezzlement:recover:technology:
1384-APPLE COMPUTER <AAPL> HAS NEW MACINTOSH MODELS|printed:color:additional:high:including:
1385-REAGAN AND BAKER BEGIN TASK OF REBUILDING|reuter:shot:rebels:office:affair:
1386-LAROCHE STARTS BID FOR NECO <NPT> SHARES|acq:
1387-<SDC SYDNEY DEVELOPMENT CORP> NINE MTHS LOSS|earn:
1388-SENIOR ENGINEERING MAKES 12.5 MLN DLR US PURCHASE|acq:
1389-CHEUNG KONG CHAIRMAN SEES STRONG RESULTS IN 1987|earn:
1390-OCCIDENTAL <OXY> UNIT TO REDEEM DEBENTURES|required:outstanding:agent:manner:dividend:
1391-WHITTAKER CORP 1ST QTR OPER SHR 17 CTS VS 25 CTS |earn:emptySet
1392-VIACOM <VIA> RECEIVES TWO REVISED OFFERS|acq:
1393-DOW <DOW> TO OFFER 130 MLN DLRS IN SWISS NOTES|reuter:investors:zurich:coupon:berne:
1394-FRENCH ESTIMATE 86/87 WHEAT DELIVERIES UNCHANGED|grain:wheat:corn:barley:
1395-WASTE MANAGEMENT CORP VOTES TWO FOR ONE STOCK SPLIT AND BOOSTS QTLY DIVIDEND TO 18 CTS |earn:emptySet
1396-WRITERS GUILD OF AMERICA STRIKES TWO NETWORKS|reuter:members:money:terminate:locations:
1397-PITTSTON AGREES TO ACQUIRE WTC INTERNATIONAL IN EXCHANGE OF STOCK |acq:emptySet
1398-TUESDAY MORNING INC <TUES> 4TH QTR NET|earn:
1399-DIAGNOSTIC/RETRIEVAL SYSTEMS INC MAKES 53 MLN DLR BID FOR ROSPATCH CORP |acq:emptySet
1400-MILLER TABAK HAS 91.8 PCT OF PENN TRAFFIC <PNF>|acq:
1401-COFFEE QUOTA TALKS CONTINUE BUT NO AGREEMENT YET|coffee:
1402-FEDERAL INDUSTRIES SETS COMMERCIAL PAPER ISSUE|program:financial:outstanding:existing:purposes:
1403-WASTE MANAGEMENT <WMX> VOTES SPLIT, UPS PAYOUT|earn:
1404-POREX TECHNOLOGIES <PORX> SETS INITIAL DIVIDEND|earn:
1405-DAVIS WATER <DWWS> DECLARES STOCK DIVIDEND|earn:
1406-MEDCO CONTAINMENT <MCCS> SETS INITIAL PAYOUT|earn:
1407-PITTSTON <PCO> AGREES TO ACQUIRE WTC <WAF>|acq:
1408-SDC SYDNEY COST REVIEW MAY ELIMINATE PRODUCTS|earn:
1409-<MULTI-STEP PRODUCTS INC> SIX MTHS DEC 31 LOSS|earn:
1410-U.K. MONEY MARKET OFFERED BORROWING FACILTIES|money:fx:interest:
1411-ELECTRONIC MAIL <EMCA> FINANCING ATTEMPT FAILS|operations:months:secure:fallen:wil:
1412-NETHERLANDS GRANTS 47 MLN DLRS TO BANGLADESH|development:raised:netherlands:commodity:grant:
1413-QUEBEC'S CAISSE DES JARDINS ISSUES YEN EUROBOND|major:centrale:yen:eurobond:desjardins:
1414-DOW CHEMICAL LAUNCHES 200 MLN SWISS FRANC BOND|point:coupon:manager:close:lead:
1415-SWISS SIGHT DEPOSITS RISE 3.10 BILLION FRANCS|reserves:
1416-|grain:oat:emptySet
1417-CONSOLIDATED TVX SAYS IT WILL ISSUE SHARES TO BUY STAKES IN THREE BRAZIL MINING FIRMS |acq:emptySet
1418-BRAZIL CRITICISES ADVISORY COMMITTEE STRUCTURE|advisory:reuter:partial:leigh:existing:
1419-WHITTAKER CORP <WKR> 1ST QTR JAN 31 NET|earn:
1420-QUEBEC'S CAISSE DES JARDINS ISSUES YEN EUROBOND|major:centrale:yen:eurobond:desjardins:
1421-STOP AND SHOP COS INC <SHP> 4TH QTR JAN 31 NET|earn:
1422-JIM WALTER CORP <JWC> REGULAR DIVIDEND|earn:
1423-DIAGNOSTIC <DRS> MAKES A BID FOR ROSPATCH <RPCH>|acq:
1424-RECORD N.Z. FUTURES VOLUMES TRADED IN FEBRUARY|grain:wheat:wool:dlr:
1425-AIR FORCE EXERCISES OPTION FOR AAR <AIR> ORDER|perkins:dlrs:valued:force:option:
1426-DOW CHEMICAL LAUNCHES 200 MLN SWISS FRANC BOND|point:coupon:manager:close:lead:
1427-TANZANIA SAYS NO NEED FOR NEW ECONOMIC MEASURES|satisfactory:chama:agreed:executive:satisfied:
1428-TAIWAN TO SEEK HIGHER TEXTILE EXPORTS TO U.S.|limited:washington:mission:trade:states:
1429-U.S. JAN CONSTRUCTION SPENDING ROSE 1.0 PCT AFTER REVISED 0.9 PCT DEC DROP |emptySet
1430-U.S. NON-FARM PRODUCTIVITY FELL REVISED 2.2 PCT IN 4TH QTR INSTEAD OF 1.7 PCT |emptySet
1431-U.S. NON-FARM PRODUCTIVITY FELL 2.2 PCT IN QTR|adjusted:drop:previously:revised:effectively:
1432- FRENCH 13-WEEK T-BILL AVERAGE RATE FALLS TO 7.69 PCT FROM 7.82 PCT |emptySet
1433-U.S. CONSTRUCTION SPENDING ROSE 1.0 PCT IN JAN|adjusted:constant:previously:revised:month:
1434-WHITTAKER <WKR> TO HAVE GAINS FROM SALES|earn:
1435-THE JAPAN FUND <JPN> GETS BUYOUT OFFER|acq:
1436-STANSBURY MINING <STBY> GETS FUNDING FOR MINE|vermiculite:industrial:revenue:tax:expects:
1437-<SAMSUNG CO> CALENDAR 1986|earn:
1438-<DAEWOO CORP> CALENDAR 1986|earn:
1439-CORNING TO OFFER 0.5165 SHARE FOR EACH HAZLETON SHARE UNDER EARLIER AGREEMENT |acq:emptySet
1440-BANK OF NEW YORK <BK> TO HAVE GAIN ON UNIT SALE|acq:
1441-CORNING <GLW>, HAZLETON <HLC> SET EXCAHNGE RATIO|acq:
1442-HEALTH EXPERTS URGE ERADICATION OF RINDERPEST|livestock:l:cattle:
1443-TURKISH RETAIL PRICES RISE 2.7 PCT IN FEBRUARY|retail:
1444- bank of england announces creation of further one billion stg of nine pct 2002 exchequer stock |emptySet
1445-XEROX CORP <XRX> ADDS CAPACITY TO SYSTEM|month:purchased:option:rented:annually:
1446-BALLY <BLY> COMPLETES PURCHASE OF GOLDEN NUGGET|acq:
1447-CONSOLIDATED TVX TO BUY BRAZIL GOLD MINE STAKES|gold:acq:platinum:
1448-WARWICK INSURANCE MANAGERS INC <WIMI> 4TH QTR|earn:
1449-CANADA INDUSTRIAL PRICES UP 0.2 PCT IN MONTH|ipi:
1450-OLIVER'S STORES <OLVR> FILES CHAPTER 11|declared:stores:reorganize:primary:decided:
1451-HOWE OWNERS FEDERAL <HFSL> HOLDERS OK MORE STOCK|amendment:owners:reuter:charter:federal:
1452-COMMERZBANK UNIT ISSUES STERLING EUROBOND|eurobond:pays:manager:london:management:
1453-NUCLEAR DATA <NDI> GETS EXTENSIONS ON LOANS|months:cover:agreed:retire:share:
1454-GELCO CORP 2ND QTR SHR 67 CTS VS 23 CTS |earn:emptySet
1455-STROBER ORGANIZATION INC <STRB> 4TH QTR NET|earn:
1456-JUDGE RULES IN FAVOR OF DOW CHEM <DOW> UNIT|reuter:marshall:county:defects:unit:
1457-U.K. SAYS HAS NO ROLE IN BRAZIL MORATORIUM TALKS|pointed:secretary:domestic:interpreted:sources:
1458-SHELL CANADA CUTS CRUDE OIL PRICES BY UP TO 1.27 CANADIAN DLRS/BBL EFFECTIVE MARCH ONE |crude:emptySet
1459-BANK OF ENGLAND ANNOUNCES ONE BILLION STG TAP|reuter:tranche:point:books:market:
1460-BRENCO INC <BREN> DECLARES QTLY DIVIDEND|earn:
1461-BLACK SOUTH AFRICAN MINERS SEEK WAGE RISE|national:africa:general:talks:struggle:
1462-PRIME COMPUTER <PRM> UNVEILS PC SOFTWARE|aided:feature:dimensional:design:unveiled:
1463-MASSACHUSETTS INVESTORS GROWTH STOCK FUND PAYOUT|earn:
1464-FEDERAL INDUSTRIES PAPER ISSUE JUST IN CANADA|completed:depends:paper:close:market:
1465-<PREMDOR INC> 4TH QTR NET|earn:
1466-AMERICAN NURSERY <ANSY> BUYS FLORIDA NURSERY|acq:
1467-JUTLAND TELEPHONE SETS 75 MLN SWISS FRANC BOND|exceed:retired:reasons:tax:telephone:
1468-REGENCY CRUISES INC <SHIP> ELECTS NEW CHAIRMAN|cruises:executive:replace:schanz:reuter:
1469-MFS MANAGED SECTORS TRUST DIVIDEND INCREASED|earn:
1470-UNOCAL <UCL> PLANS LUBE CENTERS AT TRUCKSTOPS|point:grages:national:lubrication:highways:
1471-<GENZYME>, PFIZER <PFE> UNIT IN JOINT VENTURE|reuter:proprietary:agreed:focus:owned:
1472-MULTI-STEP TO SELL LADDER UNIT, CANCEL SHARES|earn:acq:
1473-ESSELTE BUSINESS <ESB> UNIT BUYS ANTONSON UNIT|acq:
1474-FED EXPECTED TO ADD TEMPORARY RESERVES|money:fx:interest:
1475-REUTER DEALING SERVICE INTRODUCED IN CHINA|office:dealing:corp:trust:investment:
1476-CAMBRIDGE MEDICAL <CMTC> IN DEAL ON AIDS TEST|exclusive:cambridge:design:home:panbaxy:
1477-FOUR SEASONS BUYING MARRIOTT <MHS> HOTEL|acq:
1478-QUAKER OATS <OAT> FILES SHELF REGISTRATION|salomon:reuter:issued:years:registration:
1479-STONE <STO> SPLITS STOCK, RAISES PAYOUT|earn:
1480-TEMPLE INLAND/INT'L PAPER UP ON RAISED OPINION|comment:raised:year:outlook:expects:
1481-PRESIDENTIAL AIR <PAIR> TO START NEW SERVICE|reuter:savannah:washington:philadelphia:tex:
1482-S-K-I LTD <SKII> 2ND QTR JAN 25 NET|earn:
1483-KAPOK CORP <KPK> YEAR SEPT 30 LOSS|earn:
1484-COUPON REDUCED ON BEST DENKI WARRANT BOND|deal:coupon:share:manager:year:
1485-CARGILL U.K. STRIKE TALKS POSTPONED|oilseed:
1486-LOTUS <LOTS> INTRODUCES NEW SOFTWARE|summer:named:apple:family:series:
1487-AMAX <AMX> IN GOLD, SILVER FIND|gold:silver:
1488-STUDY GROUP URGES INCREASED U.S. OIL RESERVES|crude:
1489-K-TRON INTERNATIONAL INC <KTII> 4TH QTR NET|earn:
1490-FORD <F> INCREASES 2ND QTR OUTPUT PLANS -REPORT|period:trade:motor:year:compared:
1491-FNMA <FNM> ARRANGES MORTGAGE SECURITIES SWAP|coupon:national:underlying:year:shearson:
1492-MCI <MCIC> GETS PENNEY <JCP> CONTRACT|exceed:privatge:month:teleconferencing:video:
1493-PRESIDENTIAL REALTY CORP <PDO> ANNUAL NET|earn:
1494-FORD INCREASES 2ND QTR OUTPUT PLANS, REPORT SAYS|period:trade:motor:year:compared:
1495-REDSTONE DETAILS SWEETENED VIACOM <VIA> OFFER|acq:
1496-MONTEDISON CONCLUDES TALKS WITH ANTIBIOTICOS|acq:
1497-UTILICORP <UCU> COMPLETES ACQUISITION|acq:
1498-ARMCO <AS> CHANGES EUROPEAN MARKETING UNIT|armco:named:cologne:mill:market:
1499-FAA FINES DELTA <DAL> 140,400 DLRS ON SAFETY|operations:reuter:series:reviewed:result:
1500-TRADERS DETAIL FRENCH CEREAL EXPORT REQUESTS|grain:corn:wheat:barley:
1501-STUDY GROUP URGES INCREASED U.S. OIL RESERVES|crude:
1502-NCR CORP <NCR> UNIT SIGNS DISTRIBUTION PACT|major:campaign:national:direct:covers:
1503-CARBIDE <UK> LOOKS TO ACQUISITIONS FOR GROWTH|acq:
1504-CORRECTED - BANKAMERICA NEGOTIATING SALE OF UNITS|acq:
1505-<FRANKLIN GOLD FUND> CUTS DIVIDEND|earn:
1506-COLUMBIA GAS <CG> FORMS ERIE PIPELINE SUBIDIARY|clinton:coastal:previously:spelled:facilities:
1507-<FRANKLIN CALIFORNIA TAX-FREE INCOME FUND>PAYOUT|earn:
1508-<FRANKLIN AGE HIGH INCOME FUND> SETS PAYOUT|earn:
1509-R.J.R. NABISCO UNIT FORMS OVERSEEING COMMITTEE|operations:limited:managers:executive:management:
1510-PETRO-CANADA CUT CRUDE PRICES BY 1.43 CANADIAN DLRS/BBL EFFECTIVE MARCH ONE |crude:emptySet
1511-<FRANKLIN FEDERAL TAX-FREE INCOME FUND> PAYOUT|earn:
1512-<FRANKLIN NEW YORK TAX-FREE INCOME FUND> PAYOUT|earn:
1513-<FRANKLIN U.S. GOVERNMENT SECURITIES FUND>PAYOUT|earn:
1514-GM <GM> UNIT TO OFFER PRE-APPROVED CREDIT|reuter:campaign:motors:direct:accept:
1515-CANADA RULING ON U.S. CORN INJURY DUE THIS WEEK|grain:corn:
1516-FIRST MISSISSIPPI CORP <FRM> SETS PAYOUT|earn:
1517-ROTTERDAM PORT UNION AND EMPLOYERS TO MEET|ship:
1518-FED SETS 1.5 BILLION DLR CUSTOMER REPURCHASE, FED SAYS |money:fx:interest:emptySet
1519-AIRGAS <AGA> DECLINES TO COMMENT ON STOCK MOVES|comment:dlrs:explanation:reuter:request:
1520-JIM WALTER CORP <JWC> SETS PAYOUT|earn:
1521-FED ADDS RESERVES VIA CUSTOMER REPURCHASES|money:fx:interest:
1522-SONY TO EXPAND U.K. TELEVISION OUTPUT|locate:office:period:years:grants:
1523-JAPAN'S NTT FORECASTS PROFITS FALL IN 1987/88|earn:
1524-EC COMMISSION GIVEN PLAN TO SAVE STEEL INDUSTRY|iron:steel:
1525-LONDON STOCK EXCHANGE TO CLOSE TRADING FLOOR|displayed:reuter:seaq:share:system:
1526-EAGLE TELEPHONICS <EGLA> SELLS TELEPHONES|bell:telephone:signed:year:electronic:
1527-DURO-TEST CORP <DUR> 2ND QTR JAN 31 NET|earn:
1528-<FRANKLIN UTILITIES FUND> SETS PAYOUT|earn:
1529-GELCO CORP <GEL> 2ND QTR JAN 31 NET|earn:
1530-INTERNCHANGE FINANCIAL SERVICES <ISBJ> PAYOUT UP|earn:
1531-KAPOK CORP <KPK> IN TECHNICAL DEFAULT|acq:
1532-NEWPORT CORP <NESP> 2ND QTR JAN 31 NET|earn:
1533-KAPOK CORP <KPK> 1ST QTR DEC 31 LOSS|earn:
1534-PREFERRED HEALTHCARE LTD <PHCC> 4TH QTR NET|earn:
1535-TRANZONIC COS <TNZ> SETS QUARTERLY|earn:
1536-NUEUTROGENA <NGNA> TO BUY BACK STOCK|adjusted:reduce:purchased:open:market:
1537-CRONUS INDUSTRIES INC <CRNS> 4TH QTR LOSS|earn:
1538-MERCURY ENTERTAINMENT CORP <MCRY> YEAR NOV 30|earn:
1539-CME PLANS RULE CHANGES TIGHTENING S/P TRADING|advisory:executive:actions:trade:discovered:
1540-BENGUET CORP <BE> CALENDAR 1986|earn:
1541-POGO <PPP> CONSOLIDATES TWO DIVISIONS|development:divisions:oil:mexico:pogo:
1542-UNOCAL <UCL> UNIT CUTS CRUDE OIL POSTED PRICES|crude:
1543-PANHANDLE'S <PEL> TRUNKLINE REDUCES GAS RATES|nat:gas:
1544-INVESTOR GROUP HAS TALKS WITH PESCH ON AMI <AMI>|acq:
1545-I.M.S. INTERNATIONAL INC <IMSI> SETS QUARTERLY|earn:
1546-BANNER <BNR> COMPLETES TENDER FOR REXNORD <REX>|acq:
1547-MUTUAL OF OMAHA INTEREST SHARES <MUO> QTLY DIV|earn:
1548-MOBIL <MOB> UNIT TO PRODUCE FOOD PACKAGING|cookies:polystyrene:producer:sald:demand:
1549-CORRECTED - BANKAMERICA NEGOTIATING UNITS SALE|acq:
1550-OSR <OSRC> TO MAKE ACQUISITION|acq:
1551-MERCURY ENTERTAINMENT <MCRY> SEES BETTER RESULTS|earn:
1552-CRONUS INDUSTRIES INC <CRNS> SELLS UNIT|acq:
1553-UNISYS CORP <UIS> SETS QUARTERLY|earn:
1554-JACOBSON <JCBS> VOTES SPLIT, INCREASES PAYOUT|earn:
1555-AW COMPUTER <AWCSA> IN SUPPLY AGREEMENT|worldwide:computers:supply:sale:design:
1556-HARLEY-DAVIDSON INC <HDI> 4TH QTR NET|earn:
1557-<HOECHST AG> COMPLETES CELANESE <CZ> ACQUISITION|acq:
1558-AMERICUS TRUST <HPU> EXTENDS DEADLINE|acq:
1559-MORSE SHOE INC <MRS> 4TH QTR NET|earn:
1560-BENETTON IN FINANCIAL SERVICES JOINT VENTURE|reuter:acquired:gft:prul:milan:
1561-ICO QUOTA TALKS CONTINUE, OUTCOME HARD TO GAUGE|coffee:
1562-SEC STAFF ADVISES FRAUD CHARGES AGAINST WPPSS|operations:responsible:ron:probe:allegations:
1563-PACIFIC WESTERN FUSES MANAGEMENT WITH CP AIR|marketplace:successfully:donald:aviation:resigning:
1564-AMGEN <AMGN> TO FORM PARTNERSHIP|warrants:arrangement:pharmaceutical:estimated:reuter:
1565-BENETTON IN FINANCIAL SERVICES JOINT VENTURE|reuter:acquired:gft:prul:milan:
1566-AIBD, CEDEL, EUROCLEAR JOIN IN TRADE MATCH SYSTEM|major:work:force:give:eurobond:
1567-ZAPATA <ZOS> WON'T PAY INTEREST ON DEBENTURES|scheduled:financial:results:determine:discussions:
1568-HARNISCHFEGER INDUSTRIES INC <HPH> 1ST QTR NET|shr:reuter:equal:note:pensions:
1569-IRISH OIL CONCERN HAS 8.5 PCT OF CYNERGY <CRG>|work:individuals:campaign:acquired:mln:
1570-ALCAN ALUMINIUM LTD SETS THREE FOR TWO STOCK SPLIT |emptySet
1571-ALBERTSON'S INC <ABS> 4TH QTR JAN 29 NET|reuter:year:dlrs:shr:cts:
1572-U.S. INTEC INC <INTK> 4TH QTR NET|tax:insurance:frol:reuter:note:
1573-FRANKLIN RESOURCES <BEN> FORMS THREE FUNDS|reuter:pays:yield:levied:equity:
1574-CINCINNATI BELL INC <CSN> RAISES QUARTERLY|reuter:record:pay:prior:qtly:
1575-CINCINNATI BELL <CSN> SETS STOCK SPLIT|declared:reuter:cincinnati:bell:common:
1576-BRT REALTY TRUST <BRT> RAISES QUARTERLY PAYOUT|raised:merrill:outstanding:share:manager:
1577-UNIVERSAL HEALTH REALTY <UHT> IN INITIAL PAYOUT|declared:initial:cts:reuter:universal:
1578-QED EXPLORATION INC <QEDX> 2ND QTR JAN 31 NET|reuter:vsd:shr:revs:net:
1579-PREFERRED HEALTH CARE LTD <PHCC> YEAR DEC 31 NET|revs:shr:reuter:net:cts:
1580-AOI COAL CO <AOI> 4TH QTR NET|tax:results:acceleration:excludes:reuter:
1581-AIBD, CEDEL, EUROCLEAR JOIN IN TRADE MATCH SYSTEM|major:work:force:give:eurobond:
1582-WESTERN DIGITAL <WDC> ADDS E-MAIL PACKAGE|named:widen:computer:licensing:gilroy:
1583-MIDWAY <MDWY> TO EXPAND SERVICE|fly:acquired:united:aircraft:airport:
1584-FOOTHILL <GFI> ARRANGES DEBT PLACEMENT|institutional:private:purchased:unit:completion:
1585-KEVEX CORP <KEVX> 2ND QTR JAN 31 NET|mths:reuter:shr:cts:mln:
1586-WESTERN UNION <WU> NAMES NEW PRESIDENT|succeeds:elected:robert:reuter:remain:
1587-NORTH ATLANTIC INDUSTRIES INC <NATL> YEAR NET|dlrs:shr:lifo:share:reuter:
1588-CHURCHILL TO MARKET WESTERN UNION <WU> SERVICES|years:assigned:held:privately:sell:
1589-COMBUSTION ENGINEERING <CSP> SETS CHINA PACT|control:set:fired:supply:national:
1590-ALCAN ALUMINIUM LTD <AL> SETS STOCK SPLIT|aluminium:issued:declared:close:subject:
1591-BUFFETS INC <BOCB> 4TH QTR NET|reuter:year:shr:sales:shrs:
1592-STANDARD OIL SETS 154 MLN SWISS FRANC NOTE WITH 3-1/4 PCT COUPON AND CURRENCY WARRANTS |emptySet
1593-STANDARD MOTORS PRODUCTS INC <SMP> 4TH QTR NET|dlrs:mths:reuter:shr:revs:
1594-COMMERCIAL CREDIT <CCC> TO HAVE GAIN ON SALE|domestic:subject:reuter:expected:sold:
1595-AIR WIS SERVICES INC <ARWS> 4TH QTR NET|gains:tax:reuter:sale:note:
1596-OPEC PRESIDENT SAYS OIL MARKET BEING MANIPULATED|impression:breaking:discipline:waiting:production:
1597-ARBOR DRUGS INC <ARBR> 2ND QTR JAN 31 NET|mths:reuter:shrs:avg:shr:
1598-EPITOPE <EPTO> SETS THREE FOR ONE STOCK SPLIT|agreed:reconvened:aids:announced:reuter:
1599-AMC SAYS STEPS BEING TAKEN TO BUILD NEW JEEP AT ALTERNATE SITE AFTER UAW TALKS FAIL |emptySet
